PDB	Barrel Strands	Oligo?	Total Residues	First Barrel Res	Last Barrel Res	Total Res in Barrel	Source Org	Name
5dl7_A	18	0	419	22	419	398	ACINETOBACTER BAUMANNII	OccAB3
5dl8_B	18	0	407	25	407	383	ACINETOBACTER BAUMANNII	OccAB4
5fok_A	22	0	730	157	717	561	PSEUDOMONAS AERUGINOSA	PiuA
5fp1_A	22	0	718	146	714	569	ACINETOBACTER BAUMANNII	PiuA
5fp2_A	22	0	725	163	713	551	PSEUDOMONAS AERUGINOSA	PirA
5fq8_B	22	1	984	176	983	808	BACTEROIDES THETAIOTAOMICRON	SusC
5fr8_A	22	0	733	164	729	566	ACINETOBACTER BAUMANNII	PirA
5fvn_A	16	1	342	10	341	332	ENTEROBACTER CLOACAE	OmpC
5gaq_A	2	0	310	34	106	73	EISENIA FETIDA	Lysenin
5iv9_A	26	0	758	208	731	524	KLEBSIELLA PNEUMONIAE	LptD
5iva_A	26	0	646	50	615	566	PSEUDOMONAS AERUGINOSA	LptD
5ixm_A	26	0	577	4	527	524	YERSINIA PESTIS	LptD
5ldv_A	18	1	408	14	408	395	CAMPYLOBACTER JEJUNI	MOMP
5m9b_A	22	0	721	156	720	565	PSEUDOMONAS AERUGINOSA	PfeA
5mdo_A	16	1	350	20	350	331	VIBRIO HARVEYI	Chitoporin
5nec_A	22	0	732	157	730	574	PSEUDOMONAS AERUGINOSA	PiuD
5nxr_A	16	1	352	10	351	342	PROVIDENCIA STUARTII	Omp-Pst1
5o65_A	12	1	406	108	406	299	PSEUDOMONAS SP.	FapF
5t3r_D	22	0	1041	214	1016	803	BACTEROIDES THETAIOTAOMICRON	SusC
6ehb_A	16	1	320	21	319	299	VIBRIO CHOLERAE	OmpU
6ehd_A	16	0	325	10	324	315	VIBRIO CHOLERAE	OmpT
7ahl_A	2	0	293	109	150	42	STAPHYLOCOCCUS AUREUS	alpha hemolysin
